,ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA,MONTH,YEAR,LON,LAT,COUNTY,FIPS
4784,THOMAS JEFFERSON UNIVERSITY,4050801,5F30DK127639-03,Training - Individual,10534726,"BARTON, JOSHUA R",16421004,Silencing the uroguanylin-GUCY2C gut-brain axis mediates leptin resistance in obesity,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$48,002 ",,"$48,002 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/11/2023,PA19-192,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4785,THOMAS JEFFERSON UNIVERSITY,4050801,5R01AI144081-05,RPGs - Non SBIR/STTR,10539241,"PAUMET, FABIENNE MICHELLE",8311625,How chlamydia generates cytoskeletal scaffolds and their role during infection,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$250,000 ","$140,000 ","$390,000 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/18/2023,PA18-484,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4786,THOMAS JEFFERSON UNIVERSITY,4050801,5R01AR074813-05,RPGs - Non SBIR/STTR,10553254,"RISBUD, MAKARAND V",7852929,Pathogenesis of Inflammation-driven Intervertebral Disc Herniation: The Role of Syndecan 4,ORTHOPAEDIC SURGERY,ORTHOPEDICS,SCHOOLS OF MEDICINE,"$260,123 ","$145,669 ","$405,792 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/25/2023,PA18-484,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4787,THOMAS JEFFERSON UNIVERSITY,4050801,1R03HD110812-01,RPGs - Non SBIR/STTR,10575369,"HOU, YA-MING",1862335,A cell model of YARS2-associated childhood-onset mitochondrial disease,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$57,600 ","$32,256 ","$89,856 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/25/2023,PA20-200,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4788,THOMAS JEFFERSON UNIVERSITY,4050801,1R21AI173837-01,RPGs - Non SBIR/STTR,10575610,"DEBES, GUDRUN PHILOMENA",8651182,Skin-homing Group-1 innate lymphoid cells in viral defense,MICROBIOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF ARTS AND SCIENCES,"$150,000 ","$84,000 ","$234,000 ",3,PHILADELPHIA,PENNSYLVANIA,19107,,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,11/10/2022,PA20-195,11.0,2022.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4789,THOMAS JEFFERSON UNIVERSITY,4050801,1F30NS130973-01,Training - Individual,10607488,"CAIN, RACHEL",77901725,Determining the cellular and nanoscale localization of Synaptotagmin VII,FARBER INSTITUTE OF NEUROSCIENCE,NEUROSCIENCES,SCHOOLS OF MEDICINE,"$48,969 ",,"$48,969 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,12/5/2022,PA21-050,12.0,2022.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4790,THOMAS JEFFERSON UNIVERSITY,4050801,5R01MH116463-05,RPGs - Non SBIR/STTR,10545764,"HAHN, CHANG-GYU",1910405,mGluR5 hypoactivity is integral to glutamatergic dysregulation in schizophrenia,PSYCHIATRY AND HUMAN BEHAVIOR,PSYCHIATRY,SCHOOLS OF MEDICINE,"$479,198 ","$130,078 ","$609,276 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/19/2023,PA18-484,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4791,THOMAS JEFFERSON UNIVERSITY,4050801,5R01AI141787-04,RPGs - Non SBIR/STTR,10553237,"KIM, SANGWON VINCENT",10483879,Local,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$350,630 ","$196,353 ","$546,983 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/11/2023,PA19-056,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4792,THOMAS JEFFERSON UNIVERSITY,4050801,5R01CA222847-05,RPGs - Non SBIR/STTR,10559505,"CHERVONEVA, INNA",8526535,Statistical Methods For Quantitative Immunohistochemistry Biomarkers,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$258,057 ","$90,401 ","$348,458 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/31/2023,PA18-484,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4793,THOMAS JEFFERSON UNIVERSITY,4050801,5R21AI168975-02,RPGs - Non SBIR/STTR,10565924,"KIRINO, YOHEI",9760212,Role of rRNA-derived short non-coding RNAs in innate immune response,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$125,000 ","$70,000 ","$195,000 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/23/2023,PA19-237,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4794,THOMAS JEFFERSON UNIVERSITY,4050801,1R01CA269750-01A1,RPGs - Non SBIR/STTR,10587731,"EISENBREY, JOHN",11944169,Multi-modality detection of RCC Recurrence Post Ablation,RADIOLOGY,RADIATION-DIAGNOSTIC/ONCOLOGY,SCHOOLS OF MEDICINE,"$480,737 ","$210,374 ","$691,111 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,11/30/2022,PA20-185,11.0,2022.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4795,THOMAS JEFFERSON UNIVERSITY,4050801,4R00AG066938-03,RPGs - Non SBIR/STTR,10729915,"SONIAT, MICHAEL",14823564,Molecular mechanisms of Werner syndrome helicase in genome stability and aging,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$159,615 ","$89,384 ","$248,999 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/19/2023,PA19-130,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4796,THOMAS JEFFERSON UNIVERSITY,4050801,5R01CA236853-04,RPGs - Non SBIR/STTR,10532742,"EISCHEN, CHRISTINE M.",1902443,BCLW in lymphoma survival and resistance to targeted BCL2 family therapies,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$72,362 ","$40,523 ","$112,885 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,2/1/2023,PA19-056,2.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4797,THOMAS JEFFERSON UNIVERSITY,4050801,5R01HL122124-06,RPGs - Non SBIR/STTR,10534750,"CSORDAS, GYORGY",7125981,Mitochondria-SR Tethering: Its Role in Cardiac Bioenergetics and Ca2+ Dynamics,"PATHOLOGY, ANATOMY AND CELL BIOLOGY",PATHOLOGY,SCHOOLS OF MEDICINE,"$315,845 ","$176,873 ","$492,718 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,11/16/2022,PA20-185,11.0,2022.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4798,THOMAS JEFFERSON UNIVERSITY,4050801,5R01CA268899-02,RPGs - Non SBIR/STTR,10543999,"CALABRETTA, BRUNO",1880445,A novel strategy for transcriptional reprogramming of lymphoid leukemia cells,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$339,245 ","$189,977 ","$529,222 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,2/10/2023,PA20-185,2.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4799,THOMAS JEFFERSON UNIVERSITY,4050801,5U01AI148117-04,RPGs - Non SBIR/STTR,10544158,"SYKULEV, YURI",1954304,Role of immune receptor clustering in controlling efficacy of antibody-dependent Fc?RIIIa-mediated cytotoxicity by NK cells,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$418,627 ","$84,000 ","$502,627 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/12/2023,RFAAI18-042,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4800,THOMAS JEFFERSON UNIVERSITY,4050801,5R37CA234239-04,RPGs - Non SBIR/STTR,10530580,"MARTINEZ OUTSCHOORN, UBALDO",10656585,Tumor Microenvironment Metabolism in Invasive Ductal Carcinoma of the Breast,MEDICAL ONCOLOGY,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$224,175 ","$125,538 ","$349,713 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,2/6/2023,PA19-056,2.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4801,THOMAS JEFFERSON UNIVERSITY,4050801,5R01HL123404-07,RPGs - Non SBIR/STTR,10534136,"MA, XIN-LIANG",6096714,Cav-3 in Diabetic Myocardial Injury Following Ischemia/Reperfusion,EMERGENCY MEDICINE,EMERGENCY MEDICINE,SCHOOLS OF MEDICINE,"$225,000 ","$126,000 ","$351,000 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/17/2023,PA19-056,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4802,THOMAS JEFFERSON UNIVERSITY,4050801,5R01NS115441-04,RPGs - Non SBIR/STTR,10545732,"DALVA, MATTHEW B",1875140,Novel mechanisms regulating protein interaction and pain,NEUROSCIENCE,NEUROSCIENCES,SCHOOLS OF MEDICINE,"$386,213 ","$127,922 ","$514,135 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,11/25/2022,PA19-056,11.0,2022.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4803,THOMAS JEFFERSON UNIVERSITY,4050801,5R01CA236857-05,RPGs - Non SBIR/STTR,10555187,"VINOGRADSKIY, YEVGENIY",12543697,Development of a Novel Lung Function Imaging Modality for comprehensive management of lung cancer,RADIATION ONCOLOGY,RADIATION-DIAGNOSTIC/ONCOLOGY,SCHOOLS OF MEDICINE,"$253,167 ","$141,774 ","$394,941 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/31/2023,PAR18-009,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4804,THOMAS JEFFERSON UNIVERSITY,4050801,5R01HL093671-12,RPGs - Non SBIR/STTR,10521270,"SHEU, SHEY-SHING",1886356,Ca2+ and ROS Crosstalk Signaling in Cardiac Mitochondria,CENTER FOR TRANSLATIONAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$414,480 ","$92,400 ","$506,880 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,11/16/2022,PA19-056,11.0,2022.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4805,THOMAS JEFFERSON UNIVERSITY,4050801,5R01NS112504-03,RPGs - Non SBIR/STTR,10534758,"MA, LE",8641742,Investigating the Role and Regulation of the MAP7 Family Proteins in Axonal Morphogenesis and Function,NEUROSCIENCE,NEUROSCIENCES,SCHOOLS OF MEDICINE,"$274,427 ","$153,679 ","$428,106 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,2/8/2023,PA19-056,2.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4806,THOMAS JEFFERSON UNIVERSITY,4050801,5R01GM132611-04,RPGs - Non SBIR/STTR,10542722,"JOSEPH, SURESH K",1877270,Regulation of inositol trisphosphate receptors,"PATHOLOGY, ANATOMY AND CELL BIOLOGY",PATHOLOGY,SCHOOLS OF MEDICINE,"$196,302 ","$92,744 ","$289,046 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/13/2023,PA19-056,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4807,THOMAS JEFFERSON UNIVERSITY,4050801,5R01CA244522-03,RPGs - Non SBIR/STTR,10544343,"SOUTH, ANDREW",11143959,Tissue Damage-Driven Squamous Cell Carcinoma,DERMATOLOGY AND CUTANEOUS BIOLOGY,DERMATOLOGY,SCHOOLS OF MEDICINE,"$224,175 ","$125,538 ","$349,713 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,2/6/2023,PA19-056,2.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4808,THOMAS JEFFERSON UNIVERSITY,4050801,5R01GM138943-03,RPGs - Non SBIR/STTR,10551862,"WEDEGAERTNER, PHILIP B",1912376,Regulation of Mutationally Activated Gq/11,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$180,000 ","$100,800 ","$280,800 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/13/2023,PA20-185,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4809,THOMAS JEFFERSON UNIVERSITY,4050801,1R01GM144553-01A1,RPGs - Non SBIR/STTR,10595243,"PLUCIENNIK, ANNA",14087628,Crosstalk between DNA repair pathways in repeat instability,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$200,000 ","$112,000 ","$312,000 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/23/2023,PA20-185,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4810,THOMAS JEFFERSON UNIVERSITY,4050801,5R01ES033197-02,RPGs - Non SBIR/STTR,10615806,"MCMAHON, STEVEN B.",1898870,METTL3 in chromium-induced angiogenesis and carcinogenesis,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$332,997 ","$186,478 ","$519,475 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/26/2023,PA20-185,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4811,THOMAS JEFFERSON UNIVERSITY,4050801,5R01NS111113-04,RPGs - Non SBIR/STTR,10663394,"MOHAMED, FEROZE B",6875617,Development of an MRI Template & Neuroimaging Biomarkers of the Pediatric Spinal Cord,RADIOLOGY,RADIATION-DIAGNOSTIC/ONCOLOGY,SCHOOLS OF MEDICINE,"$386,051 ","$164,972 ","$551,023 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,2/3/2023,PA19-056,2.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4812,THOMAS JEFFERSON UNIVERSITY,4050801,5R01CA226432-05,RPGs - Non SBIR/STTR,10532172,"EISCHEN, CHRISTINE M.",1902443,Replication stress in hematopoiesis and lymphomagenesis,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$246,920 ","$138,275 ","$385,195 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,12/7/2022,PA18-484,12.0,2022.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4813,THOMAS JEFFERSON UNIVERSITY,4050801,5F31NS120718-03,Training - Individual,10561664,"DEPEW, ALISON",15769241,Regulation of Development by LRP4 at Drosophila Peripheral Synapses,NEUROSCIENCE,NEUROSCIENCES,SCHOOLS OF MEDICINE,"$47,694 ",,"$47,694 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,2/1/2023,PA19-195,2.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4814,THOMAS JEFFERSON UNIVERSITY,4050801,5R01HL096686-11,RPGs - Non SBIR/STTR,10521301,"MA, XIN-LIANG",6096714,Targeting Adiponectin for Cardioprotection in the Ischemic Heart,EMERGENCY MEDICINE,EMERGENCY MEDICINE,SCHOOLS OF MEDICINE,"$255,357 ","$134,872 ","$390,229 ",3,PHILADELPHIA,PENNSYLVANIA,19107,Y,SIDNEY KIMMEL MEDICAL COLLEGE,Domestic Higher Education,1/12/2023,PA19-056,1.0,2023.0,-75.1339,40.0077,PHILADELPHIA,42101.0
4815,TING THERAPEUTICS LLC,10055005,5R44DC018463-03,RPGs - SBIR/STTR,10520065,"ZALLOCCHI, MARISA L.",9586803,CDK2 inhibitors for protecting hearing loss,,NONE,UNAVAILABLE,,,"$541,332 ",2,OMAHA,NEBRASKA,,,,,12/10/2022,PA20-260,12.0,2022.0,-96.0529,41.2627,DOUGLAS,31055.0
4816,TOURO UNIVERSITY OF CALIFORNIA,10002757,5R01DK132064-02,RPGs - Non SBIR/STTR,10614587,"JONES, GRACE MARIE",15873373,Extra-hepatic postprandial metabolism of dietary fructose,BASIC SCIENCE,OTHER BASIC SCIENCES,SCHOOLS OF OSTEOPATHIC MEDICINE,"$220,000 ","$100,540 ","$320,540 ",5,VALLEJO,CALIFORNIA,94592,,,Domestic Higher Education,1/18/2023,PA20-184,1.0,2023.0,-122.2342,38.1125,SOLANO,6095.0
4817,TOURO UNIVERSITY OF CALIFORNIA,10002757,5R01DK116033-04,RPGs - Non SBIR/STTR,10553588,"SCHWARZ, JEAN-MARC",8491595,"Fructose: Substrate, Stimulus, or Both?",NONE (DEAN'S OFFICE),NONE,SCHOOLS OF OSTEOPATHIC MEDICINE,"$499,999 ","$215,000 ","$714,999 ",5,VALLEJO,CALIFORNIA,94592,,,Domestic Higher Education,1/6/2023,PA18-484,1.0,2023.0,-122.2342,38.1125,SOLANO,6095.0
4818,"TRAINING AND IMPLEMENTATION ASSOCIATES, LLC",10064991,3R44MH115547-02S1,RPGs - SBIR/STTR,10657138,"SANTISTEBAN, DAVID",14975906,Family Therapy Training and Implementation Platform (FTTIP): An innovative web-based tool for long-term practice improvement,,NONE,UNAVAILABLE,,,"$36,827 ",23,PEMBROKE PINES,FLORIDA,,,,,11/22/2022,PA21-345,11.0,2022.0,-80.3382,26.0128,BROWARD,12011.0
4819,TRANSLATIONAL GENOMICS RESEARCH INST,10001715,5R01HL145372-05,RPGs - Non SBIR/STTR,10541161,"BANOVICH, NICHOLAS ELI",11072694,"Combining genome, function, and phenotype to define the cell type specific gene regulatory architecture of idiopathic pulmonary fibrosis",,NONE,UNAVAILABLE,"$437,133 ","$194,001 ","$631,134 ",7,PHOENIX,ARIZONA,85004,,,None,12/9/2022,PA18-484,12.0,2022.0,-112.0892,33.5722,MARICOPA,4013.0
4820,TRANSLATIONAL GENOMICS RESEARCH INST,10001715,5F32CA254286-03,Training - Individual,10543169,"BUI-RABORN, LINH T",12465170,Characterizing the effects of cis-regulatory variation on patient outcomes and treatment response in Multiple Myeloma,,NONE,UNAVAILABLE,"$78,548 ",,"$78,548 ",7,PHOENIX,ARIZONA,85004,,,None,12/22/2022,PA19-188,12.0,2022.0,-112.0892,33.5722,MARICOPA,4013.0
4821,"TREOVIR, INC",10055553,5R44CA250883-03,RPGs - SBIR/STTR,10244948,"GILLESPIE, GEORGE YANCEY",16151077,Phase II Clinical Trial of G207 HSV To Treat Children with High Grade Gliomas,,NONE,UNAVAILABLE,,,"$890,765 ",7,BIRMINGHAM,ALABAMA,,,,,12/6/2022,PA19-273,12.0,2022.0,-86.7971,33.5279,JEFFERSON,1073.0
4822,"TRIAD NATIONAL SECURITY, LLC",10052746,5R01GM072686-18,RPGs - Non SBIR/STTR,10540792,"SANBONMATSU, KARISSA Y",7926524,Large-scale simulations of ribosomal decoding,,NONE,UNAVAILABLE,"$214,436 ","$85,121 ","$299,557 ",3,LOS ALAMOS,NEW MEXICO,,,,,12/22/2022,PA19-056,12.0,2022.0,-106.2862,35.8927,LOS ALAMOS,35028.0
4823,"TRIAD NATIONAL SECURITY, LLC",10052746,5R01EB032895-02,RPGs - Non SBIR/STTR,10596209,"KIM, YOUNG JIN",78142191,Non-cryogenic Fieldable Interleaved Magnetoencephalography and Magnetic Resonance Imaging based on Multichannel Atomic Magnetometers,,NONE,UNAVAILABLE,"$378,221 ","$222,029 ","$600,250 ",3,LOS ALAMOS,NEW MEXICO,,,,,1/31/2023,PA20-185,1.0,2023.0,-106.2862,35.8927,LOS ALAMOS,35028.0
4824,"TRIAD NATIONAL SECURITY, LLC",10052746,5R01OD011095-30,RPGs - Non SBIR/STTR,10532680,"PERELSON, ALAN S",1872946,Modeling Viral and T Lymphocyte Dynamics,,NONE,UNAVAILABLE,"$236,250 ","$183,719 ","$419,969 ",3,LOS ALAMOS,NEW MEXICO,,,,,11/17/2022,PA19-056,11.0,2022.0,-106.2862,35.8927,LOS ALAMOS,35028.0
4825,TRINITY COLLEGE DUBLIN,2217301,1R21MH132123-01,RPGs - Non SBIR/STTR,10592590,"WARD, MARK",78510112,Pathways from social disconnection to suicidal ideation in later life,,NONE,UNAVAILABLE,"$65,591 ","$5,247 ","$70,838 ",,DUBLIN,IRELAND,,,,,12/30/2022,RFAMH22-136,12.0,2022.0,-121.8963,37.7161,ALAMEDA,6001.0
4826,TRINITY UNIVERSITY,8398001,5R24OD030215-02,Other Research-Related,10592259,"GIAVEDONI, LUIS DAVID",1891662,Development of Immunological Reagents for the Identification of New World Monkey Biomarkers,NONE,NONE,UNIVERSITY-WIDE,"$400,412 ","$47,520 ","$447,932 ",21,SAN ANTONIO,TEXAS,,,,Domestic Higher Education,1/11/2023,RFAOD19-027,1.0,2023.0,-98.5238,29.4632,BEXAR,48029.0
4827,TRUSTEES OF INDIANA UNIVERSITY,577805,5R01EY030847-04,RPGs - Non SBIR/STTR,10570224,"KUMAR, JUSTIN P",1868002,Induction of retinal development by the peripodial epithelium in Drosophila,BIOLOGY,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$221,985 ","$122,948 ","$344,933 ",9,BLOOMINGTON,INDIANA,47401,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,2/6/2023,PA19-056,2.0,2023.0,-88.9703,40.4757,MCLEAN,17113.0
4828,TRUSTEES OF INDIANA UNIVERSITY,577805,5R01GM138845-03,RPGs - Non SBIR/STTR,10536635,"SCHLEBACH, JONATHAN PATRICK",11318042,Stimulation of Ribosomal Frameshifting by Cotranslational Membrane Protein Folding and Misfolding,CHEMISTRY,CHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$189,641 ","$84,697 ","$274,338 ",9,BLOOMINGTON,INDIANA,47401,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/9/2022,PA19-056,12.0,2022.0,-88.9703,40.4757,MCLEAN,17113.0
4829,TRUSTEES OF INDIANA UNIVERSITY,577805,1R35GM148258-01,RPGs - Non SBIR/STTR,10552222,"TRACEY, WILLIAM D",1924361,"Molecular, Cellular, and Circuit Mechanisms of Nociception Behavior",BIOLOGY,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$250,000 ","$146,250 ","$396,250 ",9,BLOOMINGTON,INDIANA,47401,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,2/10/2023,PAR19-367,2.0,2023.0,-88.9703,40.4757,MCLEAN,17113.0
4830,TRUSTEES OF INDIANA UNIVERSITY,577805,4R00HL159594-03,RPGs - Non SBIR/STTR,10731402,"NORLANDER, ALLISON ELIZABETH",12264411,PGI2 restrains immunopathogenesis in hypertension,,NONE,UNAVAILABLE,"$163,010 ","$85,989 ","$248,999 ",9,BLOOMINGTON,INDIANA,47401,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/13/2022,PA20-188,12.0,2022.0,-88.9703,40.4757,MCLEAN,17113.0
4831,TRUSTEES OF INDIANA UNIVERSITY,577805,5R01EY024315-09,RPGs - Non SBIR/STTR,10534739,"BURNS, STEPHEN A",2420779,Adaptive Optics Imaging of Human Retinal Vascular Structure and Function,NONE,NONE,SCHOOLS OF OPTOMETRY/OPHT TECH,"$263,834 ","$151,705 ","$415,539 ",9,BLOOMINGTON,INDIANA,47401,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/1/2022,PA19-056,12.0,2022.0,-88.9703,40.4757,MCLEAN,17113.0
4832,TRUSTEES OF INDIANA UNIVERSITY,577805,5R01NS113950-03,RPGs - Non SBIR/STTR,10532147,"KAWATA, KEISUKE",14384956,Subconcussive neurodegenerative progression in adolescent athletes,KINESIOLOGY,MISCELLANEOUS,SCHOOLS OF PUBLIC HEALTH,"$394,504 ","$214,794 ","$609,298 ",9,BLOOMINGTON,INDIANA,47401,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/8/2022,PA19-056,12.0,2022.0,-88.9703,40.4757,MCLEAN,17113.0
4833,TRUSTEES OF INDIANA UNIVERSITY,577805,1K01HL166436-01,Other Research-Related,10571461,"OWORA, ARTHUR HAMIE",14733604,Developing a Childhood Asthma Risk Passive Digital Marker,NONE,NONE,UNIVERSITY-WIDE,"$150,000 ","$12,000 ","$162,000 ",9,BLOOMINGTON,INDIANA,47401,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,2/1/2023,RFAHL22-010,2.0,2023.0,-88.9703,40.4757,MCLEAN,17113.0
